ちょくせん, straight line
ちょうこく, carving
ちゅうねん, middle-age
ちょうてん, vertex
ちょっかく, right angle
ちょうほうけい, rectangle
ちょうしょ, strong point
ちてん, spot
ちょうせい, adjustment
ちじん, friend
ちょうせつ, regulation
ていし, stoppage
ちょくご, immediately following
ちょっけい, diameter
ちょうなん, eldest son
ちょくぜん, just before
